W1	1	50	18.45472441	0.3	0.087035358	1000	0.8	-0.001	3	1	0	0	0.004	0.012	0.04	0.1	0.35	0.33333	4.27 	0.1
W2	1	50	56.24296963	0.3	0.079411765	1000	0.6	-0.001	2.5	1	0	0	0.004	0.012	0.04	0.1	0.2	0.33333	3.66 	0.1
S1L	1	3	38.72466761	0.2	0.08659744	1000	1	-0.001	3	1	0	0	0.006	0.012	0.03	0.08	0.25	0.33333	3.66 	0.05
S1M	4	7	51.75617093	0.1248	0.133734035	1000	1	-0.001	3	1	0	0	0.004	0.008	0.02	0.0533	0.216	0.33333	3.66 	0.05
S1H	8	50	62.96593559	0.0735	0.181031804	1000	1	-0.001	3	1	0	0	0.003	0.006	0.015	0.04	0.17	0.33333	3.66 	0.05
S2L	1	3	56.24296963	0.3	0.067092652	1000	0.5	-0.001	2	1	0	0	0.005	0.01	0.03	0.08	0.2	0.33333	3.66 	0.05
S2M	4	7	75.86942257	0.24975	0.103935919	1000	0.5	-0.001	2	1	0	0	0.0033	0.0067	0.02	0.0533	0.172	0.33333	3.66 	0.05
S2H	8	50	85.04516129	0.1651	0.142936186	1000	0.5	-0.001	2	1	0	0	0.0025	0.005	0.015	0.04	0.136153846	0.33333	3.66 	0.05
S3	1	50	14.06074241	0.3	0.067092652	1000	1	-0.001	2	1	0	0	0.004	0.008	0.024	0.07	0.4	0.33333	4.57 	0.05
S4L	1	3	74.59593867	0.24	0.072741194	1000	0.5	-0.001	2.25	1	0	0	0.004	0.008	0.024	0.07	0.175	0.33333	3.66 	0.05
S4M	4	7	135.616828	0.20025	0.11319219	1000	0.5	-0.001	2.25	1	0	0	0.0027	0.0053	0.016	0.0467	0.13	0.33333	3.66 	0.05
S4H	8	50	150.9343907	0.13195	0.156628337	1000	0.5	-0.001	2.25	1	0	0	0.002	0.004	0.012	0.035	0.101538462	0.33333	3.66 	0.05
S5L	1	3	73.81889764	0.075	0.111111111	1000	0.3	-0.001	2	1	0	0	0.003	0.006	0.015	0.035	0.175	0.33333	3.66 	0.05
S5M	4	7	135.153717	0.06225	0.178288283	1000	0.3	-0.001	2	1	0	0	0.002	0.004	0.01	0.0233	0.13	0.33333	3.66 	0.05
S5H	8	50	149.979412	0.04095	0.253968254	1000	0.3	-0.001	2	1	0	0	0.0015	0.003	0.0075	0.0175	0.101538462	0.33333	3.66 	0.05
C1L	1	3	60.56935191	0.2	0.086493333	1000	0.5	-0.001	3	1	0	0	0.005	0.01	0.03	0.08	0.2	0.33333	3.05 	0.07
C1M	4	7	106.8127354	0.1664	0.13302487	1000	0.5	-0.001	3	1	0	0	0.0033	0.0067	0.02	0.0533	0.15	0.33333	3.05 	0.07
C1H	8	50	124.3859443	0.0735	0.180808761	1000	0.5	-0.001	3	1	0	0	0.0025	0.005	0.015	0.04	0.120833333	0.33333	3.05 	0.07
C2L	1	3	73.81889764	0.3	0.079034029	1000	0.6	-0.001	2.5	1	0	0	0.004	0.01	0.03	0.08	0.175	0.33333	3.05 	0.07
C2M	4	7	177.2718239	0.24975	0.121996997	1000	0.6	-0.001	2.5	1	0	0	0.0027	0.0067	0.02	0.0533	0.112	0.33333	3.05 	0.07
C2H	8	50	191.0204082	0.1651	0.166729679	1000	0.6	-0.001	2.5	1	0	0	0.002	0.005	0.015	0.04	0.090833333	0.33333	3.05 	0.07
C3L	1	3	73.81889764	0.075	0.12195122	1000	0.3	-0.001	2.25	1	0	0	0.003	0.006	0.015	0.035	0.175	0.33333	3.05 	0.07
C3M	4	7	176.7394761	0.06225	0.194624652	1000	0.3	-0.001	2.25	1	0	0	0.002	0.004	0.01	0.0233	0.112	0.33333	3.05 	0.07
C3H	8	50	188.2357948	0.04095	0.27719249	1000	0.3	-0.001	2.25	1	0	0	0.0015	0.003	0.0075	0.0175	0.090833333	0.33333	3.05 	0.07
PC1	1	50	12.30314961	0.3	0.066728452	1000	0.5	-0.001	2	1	0	0	0.004	0.008	0.024	0.07	0.35	0.33333	4.57 	0.07
PC2L	1	3	73.81889764	0.3	0.066759388	1000	0.5	-0.001	2	1	0	0	0.004	0.008	0.024	0.07	0.175	0.33333	3.05 	0.07
PC2M	4	7	177.2718239	0.24975	0.104000311	1000	0.5	-0.001	2	1	0	0	0.0027	0.0053	0.016	0.0467	0.112	0.33333	3.05 	0.07
PC2H	8	50	191.0204082	0.1651	0.142857143	1000	0.5	-0.001	2	1	0	0	0.002	0.004	0.012	0.035	0.090833333	0.33333	3.05 	0.07
RM1L	1	3	73.77276083	0.39975	0.066736184	1000	0.6	-0.001	2	1	0	0	0.004	0.008	0.024	0.07	0.175	0.33333	3.05 	0.1
RM1M	4	50	178.1282095	0.333	0.103371309	1000	0.6	-0.001	2	1	0	0	0.0027	0.0053	0.016	0.0467	0.112	0.33333	3.05 	0.1
RM2L	1	3	73.77276083	0.39975	0.066736184	1000	0.6	-0.001	2	1	0	0	0.004	0.008	0.024	0.07	0.175	0.33333	3.05 	0.1
RM2M	4	7	178.1282095	0.333	0.103371309	1000	0.6	-0.001	2	1	0	0	0.0027	0.0053	0.016	0.0467	0.112	0.33333	3.05 	0.1
RM2H	8	50	190.6443837	0.2197	0.143332032	1000	0.6	-0.001	2	1	0	0	0.002	0.004	0.012	0.035	0.090833333	0.33333	3.05 	0.1
URML	1	2	12.30314961	0.1	0.111111111	1000	0.3	-0.001	2	1	0	0	0.003	0.006	0.015	0.035	0.35	0.33333	4.57 	0.1
URMM	3	50	81.93897638	0.08325	0.175324675	1000	0.3	-0.001	2	1	0	0	0.002	0.004	0.01	0.0233	0.166666667	0.33333	3.56 	0.1
MH	1	50	32.80839895	0.15	0.090909091	1000	0.4	-0.001	2	1	0	0	0.004	0.008	0.024	0.07	0.35	0.33333	3.05 	0.05
